Entity,Code,Year,"Biofuels (TWh, direct energy)","Other renewables (TWh, direct energy)","Solar (TWh, direct energy)","Wind (TWh, direct energy)","Hydropower (TWh, direct energy)","Nuclear (TWh, direct energy)","Gas (TWh, direct energy)","Oil (TWh, direct energy)","Coal (TWh, direct energy)","Traditional biomass (TWh, direct energy)"
World,OWID_WRL,1800,0,0,0,0,0,0,0,0,97,5556
World,OWID_WRL,1810,0,0,0,0,0,0,0,0,128,5833
World,OWID_WRL,1820,0,0,0,0,0,0,0,0,153,6111
World,OWID_WRL,1830,0,0,0,0,0,0,0,0,264,6389
World,OWID_WRL,1840,0,0,0,0,0,0,0,0,356,6944
World,OWID_WRL,1850,0,0,0,0,0,0,0,0,569,7222
World,OWID_WRL,1860,0,0,0,0,0,0,0,0,1061,6944
World,OWID_WRL,1870,0,0,0,0,0,0,0,6,1642,6944
World,OWID_WRL,1880,0,0,0,0,0,0,0,33,2542,6944
World,OWID_WRL,1890,0,0,0,0,14,0,33,89,3856,6667
World,OWID_WRL,1900,0,0,0,0,17,0,64,181,5728,6111
World,OWID_WRL,1910,0,0,0,0,33,0,142,397,8656,6389
World,OWID_WRL,1920,0,0,0,0,64,0,233,889,9833,6944
World,OWID_WRL,1930,0,0,0,0,131,0,603,1756,10125,7222
World,OWID_WRL,1940,0,0,0,0,192,0,875,2653,11586,7222
World,OWID_WRL,1950,0,0,0,0,333,0,2092,5444,12603,7500
World,OWID_WRL,1960,0,0,0,0,689,0,4472,11097,15442,8889
World,OWID_WRL,1965,9.029861,17.985231,0,0,923.19806,25.539724,6303.821,18011.457,16177.694,9162
World,OWID_WRL,1966,9.209844,19.806007,0,0,983.81696,34.43329,6868.8145,19426.414,16359.431,9218
World,OWID_WRL,1967,9.383716,19.98657,0,0,1005.7424,41.006016,7374.058,20778.916,16095.518,9274
World,OWID_WRL,1968,9.5538,22.120045,0,0,1059.2887,52.113163,8044.3477,22510.49,16333.144,9331
World,OWID_WRL,1969,9.723982,23.257965,0,0,1121.7424,61.783413,8833.434,24445.395,16847,9387
World,OWID_WRL,1970,13.501495,25.701897,0,0,1174.6497,78.87466,9614.809,26684.725,17087.006,9444
World,OWID_WRL,1971,13.562147,27.888294,0,0,1227.2422,109.70418,10293.19,28116.584,16987.656,9499
World,OWID_WRL,1972,14.823111,29.888775,0,0,1284.629,152.17516,10861.714,30335.396,17168.227,9553
World,OWID_WRL,1973,14.250557,32.09585,0,0,1303.013,203.90158,11377.833,32730.184,17683.57,9608
World,OWID_WRL,1974,14.334716,34.289085,0,0,1431.2317,266.6001,11659.859,32230.395,17696.432,9663
World,OWID_WRL,1975,13.688392,34.81208,0,0,1448.8834,369.8482,11659.736,31996.514,18045.436,9718
World,OWID_WRL,1976,13.75119,38.79105,0,0,1443.1366,432.67142,12354.139,34061.47,18699.785,9774
World,OWID_WRL,1977,18.318535,40.89204,0,0,1491.6724,538.5478,12759.838,35194.34,19267.412,9830
World,OWID_WRL,1978,23.178776,43.29665,0,0.003,1614.3823,625.7944,13293.947,36709.973,19467.492,9886
World,OWID_WRL,1979,28.023214,46.499256,0,0.006,1695.1862,650.8599,14118.029,37177.996,20370.578,9943
World,OWID_WRL,1980,32.78612,49.717464,0,0.0105,1731.6493,711.9242,14236.961,35568.645,20877.783,10000
World,OWID_WRL,1981,29.747923,53.48617,0,0.0105,1768.9036,840.75073,14395.874,34289.96,21158.002,10106
